term,doc1.txt,doc2.txt,doc3.txt,doc4.txt,doc5.txt
اتساع,0.0,0.0,0.0,0.04035793,0.0
اثارا,0.0,0.03747522,0.0,0.0,0.0
اجهزة,0.0,0.0,0.041149262,0.0,0.0
اخرون,0.0,0.0,0.0,0.04035793,0.0
اساسيا,0.0,0.0,0.0,0.04035793,0.0
استثمرت,0.0,0.0,0.0,0.0,0.03747522
استراتيجية,0.0,0.03747522,0.0,0.0,0.0
اصبحت,0.0,0.0,0.0,0.0,0.03747522
اطلاق,0.03681776,0.0,0.0,0.0,0.0
اعتماد,0.0,0.03747522,0.0,0.0,0.0
اكبر,0.0,0.03747522,0.0,0.0,0.0
الاجتماعية,0.0,0.0,0.041149262,0.0,0.0
الاستثمار,0.029704336,0.0,0.033198964,0.0,0.0
الاصطناعي,0.029704336,0.0,0.0,0.06512105,0.0
الاطفال,0.0,0.0,0.041149262,0.0,0.0
الاعتماد,0.029704336,0.03023477,0.0,0.0,0.0
الاقتصادية,0.03681776,0.0,0.0,0.0,0.0
الاقليمي,0.0,0.03747522,0.0,0.0,0.0
الاقليمية,0.0,0.0,0.0,0.0,0.03747522
الاكاديميات,0.0,0.0,0.0,0.0,0.03747522
الانبعاثات,0.0,0.03747522,0.0,0.0,0.0
الانتاجية,0.03681776,0.0,0.0,0.0,0.0
الاندية,0.0,0.0,0.0,0.0,0.03747522
الانظمة,0.0,0.0,0.0,0.04035793,0.0
الباحثين,0.0,0.0,0.0,0.04035793,0.0
البشرية,0.0,0.0,0.0,0.04035793,0.0
البطولات,0.0,0.0,0.0,0.0,0.07495044
البعيدة,0.0,0.0,0.041149262,0.0,0.0
البنية,0.0,0.0,0.0,0.0,0.03747522
البيانات,0.029704336,0.0,0.0,0.032560524,0.0
البييي,0.0,0.03747522,0.0,0.0,0.0
التحتية,0.029704336,0.0,0.0,0.0,0.03023477
التحول,0.03681776,0.0,0.0,0.0,0.0
التطور,0.0,0.0,0.0,0.04035793,0.0
التطوع,0.0,0.0,0.041149262,0.0,0.0
التعاون,0.0,0.03747522,0.0,0.0,0.0
التعلم,0.0,0.0,0.041149262,0.0,0.0
التعليم,0.0,0.0,0.20574631,0.0,0.0
التعليمية,0.0,0.0,0.0,0.04035793,0.0
التفكير,0.0,0.0,0.0,0.04035793,0.0
التقنية,0.029704336,0.0,0.0,0.032560524,0.0
الجفاف,0.0,0.03747522,0.0,0.0,0.0
الجمعيات,0.0,0.0,0.041149262,0.0,0.0
الجمهور,0.0,0.0,0.0,0.0,0.03747522
الجهود,0.0,0.03747522,0.0,0.0,0.0
الحالية,0.0,0.03747522,0.0,0.0,0.0
الحديثة,0.0,0.0,0.0,0.0,0.03747522
الحرارة,0.0,0.03747522,0.0,0.0,0.0
الحضرية,0.0,0.0,0.041149262,0.0,0.0
الحكومة,0.03681776,0.0,0.0,0.0,0.0
الخبراء,0.029704336,0.03023477,0.0,0.0,0.0
الخدمات,0.03681776,0.0,0.0,0.0,0.0
الخطر,0.0,0.03747522,0.0,0.0,0.0
الدراسات,0.0,0.0,0.041149262,0.0,0.0
الدول,0.0,0.025097592,0.027558139,0.0,0.025097592
الدولية,0.0,0.0,0.0,0.0,0.03747522
الذكاء,0.0,0.0,0.0,0.08071586,0.0
الذكي,0.03681776,0.0,0.0,0.0,0.0
الذكية,0.0,0.0,0.0,0.08071586,0.0
الرقمي,0.029704336,0.0,0.033198964,0.0,0.0
الرقمية,0.03681776,0.0,0.0,0.0,0.0
الرياضة,0.0,0.0,0.0,0.0,0.03747522
الرياضية,0.0,0.0,0.0,0.0,0.07495044
السعودية,0.03681776,0.0,0.0,0.0,0.0
السنوات,0.024657283,0.025097592,0.0,0.0,0.025097592
السوال,0.0,0.0,0.0,0.04035793,0.0
السيارات,0.0,0.0,0.0,0.04035793,0.0
الشركات,0.03681776,0.0,0.0,0.0,0.0
الشعوب,0.0,0.0,0.0,0.0,0.03747522
الشمسية,0.0,0.03747522,0.0,0.0,0.0
الطاقة,0.0,0.03747522,0.0,0.0,0.0
الطريق,0.0,0.0,0.041149262,0.0,0.0
العالم,0.0,0.03023477,0.0,0.0,0.03023477
العامة,0.03681776,0.0,0.0,0.0,0.0
العاملين,0.0,0.0,0.0,0.04035793,0.0
العدالة,0.0,0.0,0.041149262,0.0,0.0
العديد,0.029704336,0.0,0.0,0.0,0.03023477
العرب,0.0,0.0,0.0,0.0,0.03747522
العربي,0.0,0.0,0.0,0.0,0.07495044
العربية,0.020742483,0.04222577,0.023182776,0.0,0.021112885
الفجوة,0.0,0.0,0.0,0.04035793,0.0
الفحم,0.0,0.03747522,0.0,0.0,0.0
القادمة,0.0,0.07495044,0.0,0.0,0.0
القدم,0.0,0.0,0.0,0.0,0.03747522
القري,0.0,0.0,0.041149262,0.0,0.0
القطاعات,0.03681776,0.0,0.0,0.0,0.0
القيادة,0.0,0.0,0.0,0.04035793,0.0
الكربونية,0.0,0.03747522,0.0,0.0,0.0
المتجددة,0.0,0.03747522,0.0,0.0,0.0
المجتمعية,0.0,0.0,0.041149262,0.0,0.0
المحتاجين,0.0,0.0,0.041149262,0.0,0.0
المختصون,0.0,0.0,0.0,0.0,0.03747522
المدنية,0.0,0.0,0.041149262,0.0,0.0
المراة,0.0,0.0,0.041149262,0.0,0.0
المراقبون,0.0,0.0,0.041149262,0.0,0.0
المستقبل,0.0,0.0,0.0,0.04035793,0.0
المطروح,0.0,0.0,0.0,0.04035793,0.0
المعلومات,0.03681776,0.0,0.0,0.0,0.0
المعيشة,0.0,0.0,0.041149262,0.0,0.0
المغرب,0.0,0.03747522,0.0,0.0,0.0
الملاعب,0.0,0.0,0.0,0.0,0.03747522
المملكة,0.03681776,0.0,0.0,0.0,0.0
المناخي,0.0,0.03747522,0.0,0.0,0.0
المناطق,0.0,0.0,0.041149262,0.0,0.0
المناهج,0.0,0.0,0.0,0.04035793,0.0
المنتخبات,0.0,0.0,0.0,0.0,0.03747522
المنطقة,0.0,0.03747522,0.0,0.0,0.0
المهارات,0.0,0.0,0.0,0.04035793,0.0
الموسسات,0.0,0.0,0.0,0.04035793,0.0
الناشية,0.03681776,0.0,0.0,0.0,0.0
النقدي,0.0,0.0,0.0,0.04035793,0.0
الهواتف,0.0,0.0,0.0,0.04035793,0.0
الوحدة,0.0,0.0,0.0,0.0,0.03747522
الوطني,0.0,0.0,0.0,0.0,0.03747522
الوطنية,0.0,0.0,0.0,0.0,0.03747522
الوظايف,0.0,0.0,0.0,0.04035793,0.0
اليومية,0.0,0.0,0.0,0.04035793,0.0
بالبنية,0.03681776,0.0,0.0,0.0,0.0
باللعبة,0.0,0.0,0.0,0.0,0.03747522
بتحديث,0.0,0.0,0.0,0.04035793,0.0
بمتابعة,0.0,0.0,0.0,0.0,0.03747522
بييي,0.0,0.03747522,0.0,0.0,0.0
تتوفر,0.0,0.0,0.041149262,0.0,0.0
تحتاج,0.03681776,0.0,0.0,0.0,0.0
تحديات,0.03681776,0.0,0.0,0.0,0.0
تحسين,0.0,0.0,0.041149262,0.0,0.0
تحليل,0.0,0.0,0.0,0.04035793,0.0
تحولا,0.03681776,0.0,0.0,0.0,0.0
تسعي,0.0,0.0,0.041149262,0.0,0.0
تشجيع,0.03681776,0.0,0.0,0.0,0.0
تشهد,0.0,0.0,0.0,0.0,0.03747522
تطورا,0.0,0.0,0.0,0.0,0.03747522
تطوير,0.0,0.0,0.0,0.0,0.03747522
تظهر,0.0,0.0,0.041149262,0.0,0.0
تعتمد,0.03681776,0.0,0.0,0.0,0.0
تعكس,0.0,0.0,0.0,0.0,0.03747522
تعمل,0.03681776,0.0,0.0,0.0,0.0
تقليل,0.0,0.07495044,0.0,0.0,0.0
تمكين,0.0,0.0,0.041149262,0.0,0.0
تهدف,0.0,0.03747522,0.0,0.0,0.0
تواجه,0.0,0.03747522,0.0,0.0,0.0
توصي,0.0,0.0,0.0,0.04035793,0.0
جديدة,0.029704336,0.0,0.0,0.032560524,0.0
جزءا,0.0,0.0,0.0,0.04035793,0.0
جماهيرية,0.0,0.0,0.0,0.0,0.03747522
حقيقيا,0.0,0.0,0.0,0.0,0.03747522
حياتنا,0.0,0.0,0.0,0.04035793,0.0
درجات,0.0,0.03747522,0.0,0.0,0.0
دعم,0.0,0.0,0.041149262,0.0,0.0
ذاتية,0.0,0.0,0.0,0.04035793,0.0
ذوي,0.0,0.0,0.0,0.04035793,0.0
رقميا,0.03681776,0.0,0.0,0.0,0.0
رقمية,0.0,0.0,0.041149262,0.0,0.0
روح,0.0,0.0,0.0,0.0,0.03747522
روية,0.03681776,0.0,0.0,0.0,0.0
زيادة,0.03681776,0.0,0.0,0.0,0.0
سواء,0.0,0.0,0.0,0.0,0.03747522
سيخلق,0.0,0.0,0.0,0.04035793,0.0
سيساهم,0.03681776,0.0,0.0,0.0,0.0
سيودي,0.0,0.0,0.0,0.04035793,0.0
شغف,0.0,0.0,0.0,0.0,0.03747522
شهدت,0.03681776,0.0,0.0,0.0,0.0
ضروريا,0.0,0.03747522,0.0,0.0,0.0
عاجلة,0.03681776,0.0,0.0,0.0,0.0
عبر,0.03681776,0.0,0.0,0.0,0.0
عمل,0.029704336,0.0,0.0,0.032560524,0.0
فجوة,0.0,0.0,0.041149262,0.0,0.0
فرص,0.024657283,0.0,0.027558139,0.027028175,0.0
فقدان,0.0,0.0,0.0,0.04035793,0.0
كاس,0.0,0.0,0.0,0.0,0.03747522
كافية,0.0,0.03747522,0.0,0.0,0.0
كبيرا,0.03681776,0.0,0.0,0.0,0.0
كبيرة,0.0,0.0,0.0,0.0,0.03747522
كرة,0.0,0.0,0.0,0.0,0.03747522
لتحسين,0.03681776,0.0,0.0,0.0,0.0
لتشمل,0.0,0.0,0.0,0.04035793,0.0
لضمان,0.0,0.03747522,0.0,0.0,0.0
للاجيال,0.0,0.03747522,0.0,0.0,0.0
للتغير,0.0,0.03747522,0.0,0.0,0.0
للتقريب,0.0,0.0,0.0,0.0,0.03747522
للشباب,0.03681776,0.0,0.0,0.0,0.0
للطاقة,0.0,0.03747522,0.0,0.0,0.0
للطلبة,0.0,0.0,0.041149262,0.0,0.0
لمواجهة,0.0,0.03747522,0.0,0.0,0.0
لوحية,0.0,0.0,0.041149262,0.0,0.0
مبادرات,0.029704336,0.0,0.033198964,0.0,0.0
متزايدة,0.0,0.03747522,0.0,0.0,0.0
متعلقة,0.03681776,0.0,0.0,0.0,0.0
مجالات,0.029704336,0.0,0.0,0.032560524,0.0
محطات,0.0,0.03747522,0.0,0.0,0.0
مختلف,0.03681776,0.0,0.0,0.0,0.0
مستدام,0.0,0.03747522,0.0,0.0,0.0
مستقبل,0.0,0.03747522,0.0,0.0,0.0
مستوي,0.0,0.0,0.033198964,0.0,0.03023477
مشروع,0.0,0.03747522,0.0,0.0,0.0
معالجة,0.03681776,0.0,0.0,0.0,0.0
ملحوظا,0.0,0.0,0.0,0.0,0.03747522
منافسا,0.0,0.0,0.0,0.0,0.03747522
مهارات,0.0,0.0,0.0,0.04035793,0.0
نور,0.0,0.03747522,0.0,0.0,0.0
وارتفاع,0.0,0.03747522,0.0,0.0,0.0
واضحة,0.0,0.0,0.041149262,0.0,0.0
والاخرين,0.0,0.0,0.0,0.04035793,0.0
والانتماء,0.0,0.0,0.0,0.0,0.03747522
والبرمجة,0.0,0.0,0.0,0.04035793,0.0
والتحليل,0.03681776,0.0,0.0,0.0,0.0
والتنمية,0.0,0.0,0.041149262,0.0,0.0
والذكاء,0.03681776,0.0,0.0,0.0,0.0
والريفية,0.0,0.0,0.041149262,0.0,0.0
والمعرفية,0.0,0.0,0.041149262,0.0,0.0
والنفط,0.0,0.03747522,0.0,0.0,0.0
وامن,0.03681776,0.0,0.0,0.0,0.0
وبناء,0.0,0.0,0.0,0.0,0.03747522
وتحظي,0.0,0.0,0.0,0.0,0.03747522
وتعزيز,0.0,0.0,0.0,0.0,0.03747522
وتوفير,0.0,0.0,0.041149262,0.0,0.0
وخلق,0.03681776,0.0,0.0,0.0,0.0
ورزازات,0.0,0.03747522,0.0,0.0,0.0
وسايل,0.0,0.0,0.041149262,0.0,0.0
وسيلة,0.0,0.0,0.0,0.0,0.03747522
وصيانة,0.0,0.0,0.0,0.04035793,0.0
وطنية,0.029704336,0.03023477,0.0,0.0,0.0
ويري,0.0,0.0,0.041149262,0.0,0.0
ويسهم,0.0,0.03747522,0.0,0.0,0.0
يجعل,0.0,0.0,0.0,0.0,0.03747522
يحذرون,0.0,0.03747522,0.0,0.0,0.0
يخشي,0.0,0.0,0.0,0.04035793,0.0
يري,0.0,0.0,0.0,0.032560524,0.03023477
يعاني,0.0,0.0,0.041149262,0.0,0.0
يعد,0.0,0.03747522,0.0,0.0,0.0
يعيق,0.0,0.0,0.041149262,0.0,0.0
يودي,0.0,0.0,0.041149262,0.0,0.0
يوكد,0.03681776,0.0,0.0,0.0,0.0
